bird,File,resource,epoch,duration_h,liner,original_file,comment
Rb334,Rb334_01,Rb334_20250801_baseline,baseline,3,brown,2025-08-01 12-53-45.mkv,
Rb335,Rb335_01,Rb335_20250806_baseline,baseline,3,brown,2025-08-06 13-00-05.mkv,
Rb331,Rb331_01,Rb331_20250819_baseline,baseline,3,brown,2025-08-19 10-03-00.mkv,
Rb331,Rb331_02,Rb331_20250819_noise,noise,2,brown,2025-08-19 13-04-15.mkv,
Rb385,Rb385_01,Rb385_20250827_baseline,baseline,1,brown,2025-08-27 12-02-25.mkv,
Rb385,Rb385_02,Rb385_20250827_noise,noise,2,brown,2025-08-27 14-20-17.mkv,
Rb385,Rb385_03,Rb385_20250827_post,post,1,brown,2025-08-27 16-27-03.mkv,
Rb383,Rb383_01,Rb383_20250828_baseline,baseline,1,brown,2025-08-28 10-41-37.mkv,
Rb383,Rb383_02,Rb383_20250828_noise,noise,2,brown,2025-08-28 12-17-16.mkv,
Rb383,Rb383_03,Rb383_20250828_post,post,1,brown,2025-08-28 14-54-28.mkv,
Rb384,Rb384_01,Rb384_20250829_baseline,baseline,1,white,2025-08-29 10-41-23.mkv,
Rb384,Rb384_02,Rb384_20250829_noise,noise,2,white,2025-08-29 12-10-01.mkv,
Rb384,Rb384_03,Rb384_20250829_post,post,1,white,2025-08-29 15-30-35.mkv,
Rb346,Rb346_01,Rb346_20250917_baseline,baseline,1,white,2025-09-17 11-59-16.mkv,
Rb346,Rb346_02,Rb346_20250917_noise,noise,2,white,2025-09-17 13-31-33.mkv,
Rb346,Rb346_03,Rb346_20250917_post,post,1,white,2025-09-17 15-51-49.mkv,
Rb390,Rb390_01,Rb390_20250918_baseline,baseline,1,white,2025-09-18 13-07-13.mkv,
Rb390,Rb390_02,Rb390_20250918_noise,noise,2,white,2025-09-18 14-26-08.mkv,
Rb390,Rb390_03,Rb390_20250918_post,post,1,white,2025-09-18 16-29-00.mkv,
Rb349,Rb349_01,Rb349_20250926_baseline,baseline,1,white,2025-09-26 08-48-57.mkv,
Rb349,Rb349_02,Rb349_20250926_noise,noise,2,white,2025-09-26 10-08-50.mkv,
Rb349,Rb349_03,Rb349_20250926_post,post,1,white,2025-09-26 12-34-02.mkv,
Rb389,Rb389_01,Rb389_20250919_baseline,baseline,1,white,2025-09-19 10-52-35.mkv,
Rb389,Rb389_02,Rb389_20250919_noise,noise,2,white,2025-09-19 12-05-21.mkv,
Rb389,Rb389_03,Rb389_20250919_post,post,1,white,2025-09-19 17-44-43.mkv,
