uuid,bird,sire,pairing_id,born_on,injected_on,injected_with,injected_in,song_recorded_on,open_field_on,ephys_on,perfused_on,histology,comments
7b04739c,P289,Rb270,430,12/29/2024,1/21/2025,shKIAA-1685,,4/8/2025,,,5/23/2025,,
8a41fde6,P292,Rb270,430,1/2/2025,,,,4/15/2025,,,5/23/2025,,
b7d392cb,P297,Rb298,441,1/27/2025,2/18/2025,shKIAA-1685,,5/12/2025,,,7/23/2025,,
450cc22b,Rb320,Rb270,458,3/12/2025,4/1/2025,shKIAA-1685,,6/11/2025,7/30/2025,8/6/2025,8/6/2025,,open field pilot - just baseline
ec60f674,Rb317,Rb270,458,3/15/2025,4/5/2025,GFP,,6/25/2025,,7/30/2025,7/30/2025,,
7ddc9c7b,Rb318,Rb270,458,3/14/2025,,,,8/27/2025,7/31/2025,10/16/2025,10/16/2025,,open field pilot - just baseline
877b69e2,Rb331,E6,470,4/5/2025,4/26/2025,shKIAA-1685,,8/20/2025,8/19/2025,,,,
4e04d4aa,Rb334,E6,470,4/10/2025,5/1/2025,GFP,,8/25/2025,8/1/2025,8/28/2025,8/28/2025,,open field pilot - just baseline
cbff6648,Rb335,E6,470,4/10/2025,5/1/2025,GFP,,8/7/2025,8/6/2025,8/19/2025,8/19/2025,,open field pilot - just baseline
53db8cbc,Rb346,E11,481,5/14/2025,,,,,9/17/2025,,,,
486dbd72,Rb348,E11,481,5/15/2025,6/4/2025,shKIAA-1685,,,,6/19/2025,6/19/2025,,
5320f387,Rb349,E11,481,5/16/2025,6/4/2025,GFP,,,9/26/2025,,,,
2b1e80a4,Rb350,E11,481,5/17/2025,6/5/2025,shKIAA-1685,,,,,,,
a4aacecb,Rb352,E11,481,5/19/2025,6/9/2025,GFP,,,,,,,
80496b03,Rb385,Rb246,502,7/20/2025,8/11/2025,GFP,,,8/27/2025,,,,
34f872e0,Rb383,Rb246,502,7/19/2025,8/7/2025,shKIAA-1685,,,8/28/2025,,,,
b864f4e9,Rb384,Rb246,502,7/19/2025,8/11/2025,shKIAA-1685,,,8/29/2025,,,,
652958b9,Rb390,C314,512,8/16/2025,9/3/2025,GFP,,,9/18/2025,,,,
20de2b0d,Rb389,C314,512,8/16/2025,9/3/2025,shKIAA-1685,,,9/19/2025,,,,
